지역,연도,데이터
종로구,2013.1.1,27
종로구,2014.1.1,28
종로구,2015.1.1,211
종로구,2016.1.1,5
종로구,2017.1.1,1
종로구,2018.1.1,1
종로구,2019.1.1,0
종로구,2020.1.1,0
종로구,2021.1.1,0
종로구,2022.1.1,0
중구,2013.1.1,51
중구,2014.1.1,27
중구,2015.1.1,2
중구,2016.1.1,0
중구,2017.1.1,0
중구,2018.1.1,0
중구,2019.1.1,0
중구,2020.1.1,0
중구,2021.1.1,0
중구,2022.1.1,0
용산구,2013.1.1,83
용산구,2014.1.1,83
용산구,2015.1.1,198
용산구,2016.1.1,9
용산구,2017.1.1,0
용산구,2018.1.1,1
용산구,2019.1.1,0
용산구,2020.1.1,0
용산구,2021.1.1,0
용산구,2022.1.1,0
성동구,2013.1.1,265
성동구,2014.1.1,170
성동구,2015.1.1,4
성동구,2016.1.1,266
성동구,2017.1.1,77
성동구,2018.1.1,0
성동구,2019.1.1,3
성동구,2020.1.1,3
성동구,2021.1.1,0
성동구,2022.1.1,0
광진구,2013.1.1,26
광진구,2014.1.1,6
광진구,2015.1.1,1
광진구,2016.1.1,18
광진구,2017.1.1,0
광진구,2018.1.1,0
광진구,2019.1.1,0
광진구,2020.1.1,5
광진구,2021.1.1,1
광진구,2022.1.1,3
동대문구,2013.1.1,26
동대문구,2014.1.1,2
동대문구,2015.1.1,0
동대문구,2016.1.1,0
동대문구,2017.1.1,0
동대문구,2018.1.1,0
동대문구,2019.1.1,0
동대문구,2020.1.1,0
동대문구,2021.1.1,0
동대문구,2022.1.1,0
중랑구,2013.1.1,69
중랑구,2014.1.1,82
중랑구,2015.1.1,3
중랑구,2016.1.1,0
중랑구,2017.1.1,0
중랑구,2018.1.1,0
중랑구,2019.1.1,0
중랑구,2020.1.1,0
중랑구,2021.1.1,0
중랑구,2022.1.1,0
성북구,2013.1.1,292
성북구,2014.1.1,82
성북구,2015.1.1,169
성북구,2016.1.1,0
성북구,2017.1.1,0
성북구,2018.1.1,0
성북구,2019.1.1,0
성북구,2020.1.1,0
성북구,2021.1.1,0
성북구,2022.1.1,0
강북구,2013.1.1,63
강북구,2014.1.1,62
강북구,2015.1.1,3
강북구,2016.1.1,0
강북구,2017.1.1,0
강북구,2018.1.1,0
강북구,2019.1.1,0
강북구,2020.1.1,0
강북구,2021.1.1,0
강북구,2022.1.1,0
도봉구,2017.1.1,31
도봉구,2018.1.1,2
도봉구,2020.1.1,11
도봉구,2022.1.1,0
노원구,2013.1.1,7
노원구,2014.1.1,7
노원구,2015.1.1,5
노원구,2016.1.1,4
노원구,2016.1.1,0
노원구,2017.1.1,0
노원구,2018.1.1,0
노원구,2019.1.1,0
노원구,2020.1.1,0
노원구,2021.1.1,0
노원구,2022.1.1,0
은평구,2013.1.1,195
은평구,2014.1.1,20
은평구,2015.1.1,2
은평구,2016.1.1,52
은평구,2017.1.1,0
은평구,2018.1.1,0
은평구,2019.1.1,0
은평구,2020.1.1,0
은평구,2021.1.1,0
은평구,2022.1.1,0
서대문구,2013.1.1,88
서대문구,2014.1.1,1252
서대문구,2015.1.1,156
서대문구,2016.1.1,44
서대문구,2017.1.1,16
서대문구,2018.1.1,0
서대문구,2019.1.1,0
서대문구,2020.1.1,0
서대문구,2021.1.1,0
서대문구,2022.1.1,0
마포구,2013.1.1,666
마포구,2014.1.1,493
마포구,2015.1.1,10
마포구,2016.1.1,0
마포구,2017.1.1,0
마포구,2018.1.1,0
마포구,2019.1.1,0
마포구,2020.1.1,0
마포구,2021.1.1,0
마포구,2022.1.1,0
양천구,2013.1.1,85
양천구,2014.1.1,43
양천구,2015.1.1,30
양천구,2016.1.1,30
양천구,2017.1.1,3
양천구,2018.1.1,3
양천구,2019.1.1,3
양천구,2021.1.1,0
양천구,2020.1.1,0
양천구,2022.1.1,0
강서구,2013.1.1,57
강서구,2014.1.1,56
강서구,2015.1.1,13
강서구,2016.1.1,0
강서구,2017.1.1,0
강서구,2018.1.1,0
강서구,2019.1.1,0
강서구,2020.1.1,0
강서구,2021.1.1,0
강서구,2022.1.1,0
구로구,2013.1.1,477
구로구,2014.1.1,146
구로구,2018.1.1,14
구로구,2022.1.1,1
금천구,2013.1.1,0
금천구,2014.1.1,0
금천구,2015.1.1,0
금천구,2016.1.1,0
금천구,2017.1.1,0
금천구,2018.1.1,0
금천구,2019.1.1,0
금천구,2020.1.1,0
금천구,2021.1.1,0
금천구,2022.1.1,0
영등포구,2013.1.1,256
영등포구,2014.1.1,73
영등포구,2015.1.1,8
영등포구,2016.1.1,136
영등포구,2017.1.1,0
영등포구,2018.1.1,0
영등포구,2019.1.1,0
영등포구,2020.1.1,0
영등포구,2021.1.1,0
영등포구,2022.1.1,0
동작구,2013.1.1,214
동작구,2014.1.1,40
동작구,2015.1.1,0
동작구,2016.1.1,0
동작구,2017.1.1,0
동작구,2018.1.1,0
동작구,2019.1.1,0
동작구,2020.1.1,0
동작구,2021.1.1,0
동작구,2022.1.1,0
관악구,2013.1.1,0
관악구,2014.1.1,0
관악구,2015.1.1,0
관악구,2016.1.1,0
관악구,2017.1.1,0
관악구,2018.1.1,0
관악구,2019.1.1,0
관악구,2020.1.1,0
관악구,2021.1.1,0
관악구,2022.1.1,0
서초구,2013.1.1,80
서초구,2014.1.1,54
서초구,2015.1.1,17
서초구,2016.1.1,17
서초구,2017.1.1,16
서초구,2018.1.1,16
서초구,2019.1.1,16
서초구,2020.1.1,0
서초구,2021.1.1,0
서초구,2022.1.1,0
강남구,2013.1.1,7
강남구,2014.1.1,1
강남구,2015.1.1,12
강남구,2016.1.1,3
강남구,2017.1.1,0
강남구,2018.1.1,0
강남구,2019.1.1,0
강남구,2020.1.1,0
강남구,2021.1.1,0
강남구,2022.1.1,0
송파구,2013.1.1,60
송파구,2014.1.1,52
송파구,2015.1.1,150
송파구,2016.1.1,150
송파구,2017.1.1,25
송파구,2018.1.1,8
송파구,2019.1.1,8
송파구,2020.1.1,7
송파구,2021.1.1,0
송파구,2022.1.1,0
강동구,2013.1.1,321
강동구,2014.1.1,126
강동구,2015.1.1,653
강동구,2016.1.1,3
강동구,2017.1.1,36
강동구,2018.1.1,0
강동구,2019.1.1,15
강동구,2020.1.1,105
강동구,2021.1.1,48
강동구,2022.1.1,41